id	board_group_id	engine_id	market_id	boardid	board_title	is_traded	has_candles	is_primary
177	57	1	1	TQIF	Т+: Паи - безадрес.	1	1	1
178	57	1	1	TQTF	Т+: ETF - безадрес.	1	1	1
129	57	1	1	TQBR	Т+: Акции и ДР - безадрес.	1	1	1
130	57	1	1	TQBS	Т+: А2-Акции и паи - безадрес.	0	1	1
131	57	1	1	TQNL	Т+: Б-Акции и паи - безадрес.	0	1	1
132	57	1	1	TQLV	Т+: В-Акции и ДР - безадрес.	0	1	1
133	57	1	1	TQLI	Т+: И-Акции - безадрес.	0	1	1
134	57	1	1	TQNE	Т+: Акции, паи и ДР внесписочные - безадрес.	0	1	1
158	57	1	1	TQDE	Т+: Акции Д - безадрес.	0	1	1
401	57	1	1	TQPI	Т+: Акции ПИР - безадрес.	1	1	1
225	156	1	1	TQTD	Т+: ETF (USD) - безадрес.	1	1	0
429	156	1	1	TQFD	Т+: ПАИ (USD) - безадрес.	1	1	0
431	156	1	1	TQPD	Т+: Акции ПИР (USD) - безадрес.	1	1	0
315	159	1	1	EQTU	Т0: ETF (EUR) - безадрес.	0	1	0
313	157	1	1	TQBE	Т+: Акции и ДР (EUR) - безадрес.	0	1	0
314	157	1	1	TQTE	Т+: ETF (EUR) - безадрес.	1	1	0
441	157	1	1	TQFE	Т+: ПАИ (EUR) - безадрес.	1	1	0
443	157	1	1	TQPE	Т+: Акции ПИР (EUR) - безадрес.	1	1	0
1216	1215	1	1	TQTY	Т+: ПАИ (CNY) - безадрес.	1	1	0
1217	1215	1	1	TQPY	Т+: Акции ПИР (CNY) - безадрес.	1	1	0
1239	1238	1	1	TQTH	Т+: ПАИ (HKD) - безадрес.	1	1	0
1240	1238	1	1	TQPH	Т+: Акции ПИР (HKD) - безадрес.	1	1	0
1	6	1	1	EQBR	Основной режим: А1-Акции и паи - безадрес.	0	1	0
2	6	1	1	EQBS	Основной режим: А2-Акции и паи - безадрес.	0	1	0
4	6	1	1	EQNL	Основной режим: Б-Акции и паи - безадрес.	0	1	0
3	6	1	1	EQLV	Основной режим: В-Акции и РДР - безадрес.	0	1	0
117	6	1	1	EQDE	Основной режим: Акции Д - безадрес.	0	1	0
28	6	1	1	EQLI	Основной режим: И-Акции - безадрес.	0	1	0
5	6	1	1	EQNE	Основной режим: Акции и паи внесписочные - безадрес.	0	1	0
36	21	1	1	SMAL	Т+: Неполные лоты (акции) - безадрес.	1	1	0
