id	trade_engine_id	trade_engine_name	trade_engine_title	security_type_name	security_type_title	security_group_name	stock_type
3	1	stock	Фондовый рынок и рынок депозитов	common_share	Акция обыкновенная	stock_shares	1
1	1	stock	Фондовый рынок и рынок депозитов	preferred_share	Акция привилегированная 	stock_shares	2
51	1	stock	Фондовый рынок и рынок депозитов	depositary_receipt	Депозитарная расписка	stock_dr	D
54	1	stock	Фондовый рынок и рынок депозитов	ofz_bond	Государственная облигация	stock_bonds	3
4	1	stock	Фондовый рынок и рынок депозитов	cb_bond	Облигация центрального банка	stock_bonds	5
41	1	stock	Фондовый рынок и рынок депозитов	subfederal_bond	Региональная облигация	stock_bonds	4
45	1	stock	Фондовый рынок и рынок депозитов	municipal_bond	Муниципальная облигация	stock_bonds	C
2	1	stock	Фондовый рынок и рынок депозитов	corporate_bond	Корпоративная облигация	stock_bonds	6
43	1	stock	Фондовый рынок и рынок депозитов	exchange_bond	Биржевая облигация	stock_bonds	8
42	1	stock	Фондовый рынок и рынок депозитов	ifi_bond	Облигация МФО	stock_bonds	7
60	1	stock	Фондовый рынок и рынок депозитов	euro_bond	Еврооблигации	stock_eurobond	
7	1	stock	Фондовый рынок и рынок депозитов	public_ppif	Пай открытого ПИФа	stock_ppif	9
8	1	stock	Фондовый рынок и рынок депозитов	interval_ppif	Пай интервального ПИФа	stock_ppif	A
53	1	stock	Фондовый рынок и рынок депозитов	rts_index	Индекс РТС	stock_index	
9	1	stock	Фондовый рынок и рынок депозитов	private_ppif	Пай закрытого ПИФа	stock_ppif	B
57	1	stock	Фондовый рынок и рынок депозитов	stock_mortgage	Ипотечный сертификат	stock_mortgage	F
55	1	stock	Фондовый рынок и рынок депозитов	etf_ppif	ETF	stock_etf	E
44	1	stock	Фондовый рынок и рынок депозитов	stock_index	Индекс фондового рынка	stock_index	
74	1	stock	Фондовый рынок и рынок депозитов	exchange_ppif	Пай биржевого ПИФа	stock_ppif	J
89	1	stock	Фондовый рынок и рынок депозитов	stock_index_ci	Товарный индикатор	stock_index	
84	1	stock	Фондовый рынок и рынок депозитов	stock_index_eq	Индекс акций	stock_index	
90	1	stock	Фондовый рынок и рынок депозитов	stock_index_im	iNAV смешанный	stock_index	
85	1	stock	Фондовый рынок и рынок депозитов	stock_index_fi	Индекс облигаций	stock_index	
87	1	stock	Фондовый рынок и рынок депозитов	stock_index_ie	iNAV акций	stock_index	
86	1	stock	Фондовый рынок и рынок депозитов	stock_index_mx	Индекс составной	stock_index	
88	1	stock	Фондовый рынок и рынок депозитов	stock_index_if	iNAV облигаций	stock_index	
1030	1	stock	Фондовый рынок и рынок депозитов	stock_index_namex	Индекс НТБ	stock_index	
1034	1	stock	Фондовый рынок и рынок депозитов	stock_index_rusfar	RUSFAR	stock_index	
1155	1	stock	Фондовый рынок и рынок депозитов	stock_index_pf	Ценовой фиксинг	stock_index	
63	1	stock	Фондовый рынок и рынок депозитов	stock_deposit	Депозит с ЦК	stock_deposit	
78	1	stock	Фондовый рынок и рынок депозитов	non_exchange_bond	Коммерческая облигация	stock_bonds	
10	2	state	Рынок ГЦБ (размещение)	state_bond	Государственная облигация	stock_eurobond	
1347	3	currency	Валютный рынок	currency_otcindices	Валютные внебиржевые индексы	currency_otcindices	
75	3	currency	Валютный рынок	currency_index	Валютный фиксинг	currency_indices	
5	3	currency	Валютный рынок	currency	Валюта	currency_selt	
58	3	currency	Валютный рынок	gold_metal	Металл золото	currency_metal	
59	3	currency	Валютный рынок	silver_metal	Металл серебро	currency_metal	
62	3	currency	Валютный рынок	currency_futures	Валютный фьючерс	currency_futures	
73	3	currency	Валютный рынок	currency_fixing	Валютный фиксинг	currency_selt	
76	3	currency	Валютный рынок	currency_wap	Средневзвешенный курс	currency_selt	
1352	3	currency	Валютный рынок	other_metal	Металл	currency_metal	
6	4	futures	Срочный рынок	futures	Фьючерс	futures_forts	
1337	4	futures	Срочный рынок	futures_spread	Календарный спред	futures_forts	
1338	4	futures	Срочный рынок	futures_collateral	Коллатеральный инструмент	futures_forts	
52	4	futures	Срочный рынок	option	Опцион	futures_options	
1031	4	futures	Срочный рынок	option_on_shares	Опцион на акции	futures_options	
1291	4	futures	Срочный рынок	option_on_currency	Опцион на валюту	futures_options	
1293	4	futures	Срочный рынок	option_on_indices	Опцион на индексы	futures_options	
1295	4	futures	Срочный рынок	option_on_commodities	Опцион на товары	futures_options	
