datetime,budget,strategy
2024-06-01 00:00:00,10000.0,start
2024-06-01 07:02:00,10000.0,short
2024-06-01 07:03:00,10028.0656,wait
2024-06-01 07:04:00,10028.0656,wait
2024-06-01 07:05:00,10028.0656,wait
2024-06-01 07:06:00,10028.0656,wait
2024-06-01 07:07:00,10028.0656,short
2024-06-01 07:08:00,10057.992399999997,wait
2024-06-01 07:09:00,10057.992399999997,wait
2024-06-01 07:10:00,10057.992399999997,wait
2024-06-01 07:11:00,10057.992399999997,wait
2024-06-01 07:12:00,10057.992399999997,wait
2024-06-01 07:13:00,10057.992399999997,wait
2024-06-01 07:14:00,10057.992399999997,long
2024-06-01 07:15:00,10046.298919999996,wait
2024-06-01 07:16:00,10046.298919999996,short
2024-06-01 07:17:00,10135.106811999996,wait
2024-06-01 07:18:00,10135.106811999996,short
2024-06-01 07:19:00,10087.794763999997,short
2024-06-01 07:20:00,10079.906155999997,wait
2024-06-01 07:21:00,10079.906155999997,wait
2024-06-01 07:22:00,10079.906155999997,wait
2024-06-01 07:23:00,10079.906155999997,wait
2024-06-01 07:24:00,10079.906155999997,short
2024-06-01 07:25:00,10071.658267999997,short
2024-06-01 07:26:00,10063.770235999997,short
2024-06-01 07:28:00,10185.676519999997,wait
2024-06-01 07:29:00,10185.676519999997,wait
2024-06-01 07:30:00,10185.676519999997,wait
2024-06-01 07:31:00,10185.676519999997,wait
2024-06-01 07:32:00,10185.676519999997,short
2024-06-01 07:34:00,10180.909291999998,short
2024-06-01 07:35:00,10173.923839999998,short
2024-06-01 07:36:00,10184.336231999998,wait
2024-06-01 07:37:00,10184.336231999998,wait
2024-06-01 07:38:00,10184.336231999998,wait
2024-06-01 07:39:00,10184.336231999998,wait
2024-06-01 07:40:00,10184.336231999998,wait
2024-06-01 07:41:00,10184.336231999998,wait
2024-06-01 07:42:00,10184.336231999998,wait
2024-06-01 07:43:00,10184.336231999998,wait
2024-06-01 07:44:00,10184.336231999998,wait
2024-06-01 07:45:00,10184.336231999998,wait
2024-06-01 07:46:00,10184.336231999998,wait
2024-06-01 07:49:00,10184.336231999998,wait
2024-06-01 07:51:00,10184.336231999998,short
2024-06-01 07:52:00,10290.243551999998,long
2024-06-01 07:53:00,10399.013231999998,short
2024-06-01 07:56:00,10391.076247999998,wait
2024-06-01 07:57:00,10391.076247999998,wait
2024-06-01 07:58:00,10391.076247999998,wait
2024-06-01 08:00:00,10391.076247999998,short
2024-06-01 08:02:00,10382.608427999998,wait
2024-06-01 08:03:00,10382.608427999998,wait
2024-06-01 08:04:00,10382.608427999998,wait
2024-06-01 08:05:00,10382.608427999998,short
2024-06-01 08:06:00,10374.511347999998,short
2024-06-01 08:07:00,10451.330387999998,wait
2024-06-01 08:08:00,10451.330387999998,short
2024-06-01 08:09:00,10528.928819999997,wait
2024-06-01 08:10:00,10528.928819999997,short
2024-06-01 08:12:00,10520.613203999997,wait
2024-06-01 08:13:00,10520.613203999997,long
2024-06-01 08:14:00,10595.931331999996,short
2024-06-01 08:16:00,10587.996171999996,short
2024-06-01 08:19:00,10580.061315999996,short
2024-06-01 08:20:00,10650.057923999995,wait
2024-06-01 08:22:00,10650.057923999995,short
2024-06-01 08:23:00,10711.478419999994,wait
2024-06-01 08:24:00,10711.478419999994,wait
2024-06-01 08:25:00,10711.478419999994,wait
2024-06-01 08:26:00,10711.478419999994,wait
2024-06-01 08:27:00,10711.478419999994,wait
2024-06-01 08:29:00,10711.478419999994,wait
2024-06-01 08:31:00,10711.478419999994,wait
2024-06-01 08:32:00,10711.478419999994,wait
2024-06-01 08:33:00,10711.478419999994,wait
2024-06-01 08:34:00,10711.478419999994,wait
2024-06-01 08:35:00,10711.478419999994,wait
2024-06-01 08:36:00,10711.478419999994,wait
2024-06-01 08:37:00,10711.478419999994,wait
2024-06-01 08:38:00,10711.478419999994,wait
2024-06-01 08:39:00,10711.478419999994,wait
2024-06-01 08:40:00,10711.478419999994,wait
2024-06-01 08:42:00,10711.478419999994,wait
2024-06-01 08:44:00,10711.478419999994,wait
2024-06-01 08:45:00,10711.478419999994,wait
2024-06-01 08:46:00,10711.478419999994,wait
2024-06-01 08:47:00,10711.478419999994,wait
2024-06-01 08:48:00,10711.478419999994,wait
2024-06-01 08:50:00,10711.478419999994,wait
2024-06-01 08:51:00,10711.478419999994,short
2024-06-01 08:53:00,10702.993579999995,wait
2024-06-01 08:54:00,10702.993579999995,wait
2024-06-01 08:55:00,10702.993579999995,wait
2024-06-01 08:57:00,10702.993579999995,wait
2024-06-01 08:58:00,10702.993579999995,short
2024-06-01 08:59:00,10752.250579999996,wait
2024-06-01 09:00:00,10752.250579999996,wait
2024-06-01 09:01:00,10752.250579999996,wait
2024-06-01 09:02:00,10752.250579999996,long
2024-06-01 09:03:00,10797.610387999996,short
2024-06-01 09:06:00,10791.859759999998,wait
2024-06-01 09:07:00,10791.859759999998,wait
2024-06-01 09:10:00,10791.859759999998,wait
2024-06-01 09:11:00,10791.859759999998,wait
2024-06-01 09:12:00,10791.859759999998,wait
2024-06-01 09:13:00,10791.859759999998,wait
2024-06-01 09:15:00,10791.859759999998,wait
2024-06-01 09:16:00,10791.859759999998,wait
2024-06-01 09:20:00,10791.859759999998,wait
2024-06-01 09:21:00,10791.859759999998,wait
