utc,open,close,high,low,volume
2022-01-03T07:00:00.000000,104.25,104.25,104.85,103.8,278
2022-01-03T07:10:00.000000,104.25,104.55,104.55,103.95,184
2022-01-03T07:20:00.000000,104.55,104.25,104.55,104.25,167
2022-01-03T07:30:00.000000,104.4,104.55,104.55,104.1,130
2022-01-03T07:40:00.000000,104.55,104.55,104.55,103.95,156
2022-01-03T07:50:00.000000,104.55,104.85,105.0,104.55,117
2022-01-03T08:00:00.000000,105.0,105.45,105.6,105.0,370
2022-01-03T08:10:00.000000,105.45,105.3,105.45,105.0,71
2022-01-03T08:20:00.000000,105.3,105.3,105.45,105.15,182
2022-01-03T08:30:00.000000,105.3,105.3,105.3,105.0,122
2022-01-03T08:40:00.000000,105.15,105.15,105.3,105.0,215
2022-01-03T08:50:00.000000,105.15,105.0,105.3,105.0,88
2022-01-03T09:00:00.000000,105.15,104.4,105.15,103.65,823
2022-01-03T09:10:00.000000,104.55,104.7,104.7,104.4,146
2022-01-03T09:20:00.000000,104.7,104.7,104.85,104.55,77
2022-01-03T09:30:00.000000,104.7,104.85,104.85,104.55,117
2022-01-03T09:40:00.000000,104.85,104.85,104.85,104.55,48
2022-01-03T09:50:00.000000,104.85,105.0,105.45,104.55,247
2022-01-03T10:00:00.000000,105.3,105.45,105.45,105.15,98
2022-01-03T10:10:00.000000,105.45,105.6,106.35,105.15,996
2022-01-03T10:20:00.000000,105.6,105.3,105.6,105.15,195
2022-01-03T10:30:00.000000,105.45,105.6,105.6,105.15,54
2022-01-03T10:40:00.000000,105.6,105.6,105.6,105.15,25
2022-01-03T10:50:00.000000,105.6,105.6,105.6,105.3,78
2022-01-03T11:00:00.000000,105.6,105.3,105.6,105.3,90
2022-01-03T11:10:00.000000,105.6,105.45,105.6,105.3,54
2022-01-03T11:20:00.000000,105.6,105.45,105.75,105.3,244
2022-01-03T11:30:00.000000,105.75,105.45,105.75,105.15,85
2022-01-03T11:40:00.000000,105.45,105.3,105.45,105.15,190
2022-01-03T11:50:00.000000,105.3,105.3,105.3,105.15,50
2022-01-03T12:00:00.000000,105.3,105.15,105.45,105.15,133
2022-01-03T12:10:00.000000,105.0,105.3,105.75,105.0,100
2022-01-03T12:20:00.000000,105.6,105.6,105.6,105.3,30
2022-01-03T12:30:00.000000,105.75,105.75,105.9,105.45,207
2022-01-03T12:40:00.000000,105.75,105.75,105.9,105.45,47
2022-01-03T12:50:00.000000,105.9,105.6,105.9,105.45,64
2022-01-03T13:00:00.000000,105.6,105.6,105.75,105.45,17
2022-01-03T13:10:00.000000,105.6,105.6,105.9,105.6,127
2022-01-03T13:20:00.000000,105.75,105.6,105.75,105.45,175
2022-01-03T13:30:00.000000,105.6,105.3,105.6,105.15,66
2022-01-03T13:40:00.000000,105.45,105.15,105.45,104.85,502
2022-01-03T13:50:00.000000,105.0,105.0,105.15,104.4,151
2022-01-03T14:00:00.000000,105.0,104.7,105.0,104.1,1421
2022-01-03T14:10:00.000000,104.55,104.1,104.7,103.65,763
2022-01-03T14:20:00.000000,103.65,103.2,104.25,102.9,2882
2022-01-03T14:30:00.000000,103.8,96.15,103.8,95.7,28079
2022-01-03T14:40:00.000000,96.15,97.35,97.35,94.8,16769
2022-01-03T14:50:00.000000,97.35,98.1,98.7,96.9,9446
2022-01-03T15:00:00.000000,98.1,98.1,100.5,97.5,8808
2022-01-03T15:10:00.000000,98.4,97.65,99.0,97.5,4367
2022-01-03T15:20:00.000000,97.65,99.9,100.2,97.2,7301
2022-01-03T15:30:00.000000,100.05,100.35,101.1,99.9,8198
2022-01-03T15:40:00.000000,100.35,100.5,101.7,100.2,4311
2022-01-03T15:50:00.000000,100.5,101.4,101.55,100.05,3579
2022-01-03T16:00:00.000000,101.55,102.0,102.3,101.4,3923
2022-01-03T16:10:00.000000,102.0,102.15,102.3,101.4,2207
2022-01-03T16:20:00.000000,102.0,102.3,102.45,101.7,2388
2022-01-03T16:30:00.000000,102.3,102.3,103.05,102.15,3077
2022-01-03T16:40:00.000000,102.3,102.15,102.9,102.0,2187
2022-01-03T16:50:00.000000,102.0,101.85,102.15,100.95,2767
2022-01-03T17:00:00.000000,101.7,102.45,103.2,101.7,3127
2022-01-03T17:10:00.000000,102.45,101.85,102.6,101.55,2787
2022-01-03T17:20:00.000000,101.85,101.85,102.3,100.65,2536
2022-01-03T17:30:00.000000,102.15,103.5,103.5,101.85,2364
2022-01-03T17:40:00.000000,103.35,103.35,103.8,102.9,2161
2022-01-03T17:50:00.000000,103.5,103.65,104.1,103.05,2231
2022-01-03T18:00:00.000000,103.35,103.05,104.1,103.05,1971
2022-01-03T18:10:00.000000,103.05,102.15,103.2,101.7,3884
