utc,open,close,high,low,volume
2024-01-03T07:00:00.000000,3227.0,3238.5,3243.0,3210.5,12835
2024-01-03T07:10:00.000000,3238.5,3240.0,3246.0,3238.0,7382
2024-01-03T07:20:00.000000,3240.0,3254.5,3255.0,3233.0,9485
2024-01-03T07:30:00.000000,3255.0,3250.0,3256.0,3247.0,6956
2024-01-03T07:40:00.000000,3250.0,3252.5,3253.5,3248.0,2972
2024-01-03T07:50:00.000000,3253.0,3247.0,3257.5,3239.0,12348
2024-01-03T08:00:00.000000,3247.0,3240.0,3253.0,3239.5,8301
2024-01-03T08:10:00.000000,3240.0,3241.5,3250.5,3239.5,4373
2024-01-03T08:20:00.000000,3241.5,3243.0,3246.0,3241.0,1636
2024-01-03T08:30:00.000000,3243.0,3244.0,3246.0,3242.0,2299
2024-01-03T08:40:00.000000,3244.5,3248.0,3249.5,3244.0,3807
2024-01-03T08:50:00.000000,3249.5,3249.0,3250.0,3248.0,1795
2024-01-03T09:00:00.000000,3249.5,3244.0,3252.0,3242.5,2763
2024-01-03T09:10:00.000000,3244.0,3244.0,3245.5,3241.0,2949
2024-01-03T09:20:00.000000,3244.5,3244.0,3244.5,3242.0,1054
2024-01-03T09:30:00.000000,3243.0,3245.0,3245.5,3241.5,1108
2024-01-03T09:40:00.000000,3246.0,3245.0,3246.5,3243.0,1000
2024-01-03T09:50:00.000000,3244.0,3241.5,3245.5,3240.0,2303
2024-01-03T10:00:00.000000,3241.0,3244.5,3244.5,3241.0,1634
2024-01-03T10:10:00.000000,3243.5,3245.5,3247.0,3243.0,1392
2024-01-03T10:20:00.000000,3245.5,3248.0,3249.0,3244.5,1797
2024-01-03T10:30:00.000000,3249.0,3249.0,3249.5,3247.5,905
2024-01-03T10:40:00.000000,3249.5,3250.0,3250.0,3248.0,2238
2024-01-03T10:50:00.000000,3248.5,3249.5,3251.0,3248.0,2481
2024-01-03T11:00:00.000000,3249.5,3248.5,3250.0,3248.0,981
2024-01-03T11:10:00.000000,3248.0,3240.0,3248.5,3239.0,6270
2024-01-03T11:20:00.000000,3239.5,3245.0,3245.5,3239.5,1233
2024-01-03T11:30:00.000000,3245.0,3244.5,3245.5,3242.0,1362
2024-01-03T11:40:00.000000,3244.0,3245.0,3245.0,3243.5,1011
2024-01-03T11:50:00.000000,3244.5,3247.0,3248.0,3244.5,825
2024-01-03T12:00:00.000000,3247.5,3247.5,3247.5,3247.0,456
2024-01-03T12:10:00.000000,3247.5,3247.0,3247.5,3244.5,2193
2024-01-03T12:20:00.000000,3246.5,3246.5,3247.0,3244.5,806
2024-01-03T12:30:00.000000,3245.5,3245.5,3246.5,3244.5,290
2024-01-03T12:40:00.000000,3245.5,3248.0,3248.0,3245.5,917
2024-01-03T12:50:00.000000,3247.5,3249.0,3249.0,3246.5,1766
2024-01-03T13:00:00.000000,3249.0,3248.5,3251.5,3248.5,2848
2024-01-03T13:10:00.000000,3248.5,3252.0,3252.0,3248.0,2731
2024-01-03T13:20:00.000000,3251.0,3254.5,3257.0,3250.5,5727
2024-01-03T13:30:00.000000,3255.0,3258.0,3261.0,3254.5,4413
2024-01-03T13:40:00.000000,3258.0,3258.0,3259.0,3254.0,2017
2024-01-03T13:50:00.000000,3258.5,3260.0,3260.0,3256.5,695
2024-01-03T14:00:00.000000,3260.0,3262.5,3264.0,3259.0,1271
2024-01-03T14:10:00.000000,3263.5,3260.0,3264.5,3260.0,907
2024-01-03T14:20:00.000000,3261.0,3262.0,3262.0,3258.0,1245
2024-01-03T14:30:00.000000,3262.0,3265.0,3267.5,3260.5,2914
2024-01-03T14:40:00.000000,3264.5,3270.0,3270.0,3263.0,2058
2024-01-03T14:50:00.000000,3270.0,3271.5,3275.5,3269.5,3593
2024-01-03T15:00:00.000000,3271.5,3273.0,3276.5,3270.5,3172
2024-01-03T15:10:00.000000,3273.0,3270.0,3275.5,3266.5,3283
2024-01-03T15:20:00.000000,3270.0,3268.5,3270.0,3267.0,1227
2024-01-03T15:30:00.000000,3269.5,3268.0,3270.0,3268.0,565
2024-01-03T15:40:00.000000,3262.0,3262.0,3262.0,3262.0,1418
2024-01-03T16:00:00.000000,3265.0,3267.5,3269.0,3262.5,778
2024-01-03T16:10:00.000000,3267.5,3271.5,3272.0,3267.0,1496
2024-01-03T16:20:00.000000,3270.5,3268.0,3271.5,3268.0,911
2024-01-03T16:30:00.000000,3268.5,3271.5,3271.5,3268.0,2806
2024-01-03T16:40:00.000000,3271.5,3273.5,3274.0,3270.0,1082
2024-01-03T16:50:00.000000,3274.0,3274.5,3275.0,3273.5,1228
2024-01-03T17:00:00.000000,3274.5,3278.0,3278.0,3274.5,1637
2024-01-03T17:10:00.000000,3277.5,3279.0,3280.0,3277.0,1961
2024-01-03T17:20:00.000000,3279.0,3275.0,3279.5,3275.0,981
2024-01-03T17:30:00.000000,3275.5,3276.5,3278.0,3275.5,777
2024-01-03T17:40:00.000000,3276.5,3274.5,3276.5,3272.5,1275
2024-01-03T17:50:00.000000,3274.5,3275.5,3276.5,3274.0,670
2024-01-03T18:00:00.000000,3275.0,3276.5,3277.0,3274.5,799
2024-01-03T18:10:00.000000,3276.5,3276.5,3277.0,3275.5,544
