utc,open,close,high,low,volume
2023-01-03T07:00:00.000000,163.71,164.88,166.44,163.47,4998
2023-01-03T07:10:00.000000,164.87,164.95,165.31,164.16,3601
2023-01-03T07:20:00.000000,164.94,165.6,168.56,164.94,13345
2023-01-03T07:30:00.000000,165.97,165.6,166.49,165.6,3061
2023-01-03T07:40:00.000000,165.73,166.08,166.5,165.32,7018
2023-01-03T07:50:00.000000,166.24,167.77,168.0,166.02,5338
2023-01-03T08:00:00.000000,167.76,166.85,167.82,166.42,2877
2023-01-03T08:10:00.000000,166.8,166.64,166.85,165.31,2104
2023-01-03T08:20:00.000000,166.67,166.96,167.32,166.5,1904
2023-01-03T08:30:00.000000,166.96,166.93,167.15,166.0,964
2023-01-03T08:40:00.000000,166.91,166.46,167.04,166.1,1707
2023-01-03T08:50:00.000000,166.47,166.45,166.85,166.26,230
2023-01-03T09:00:00.000000,166.44,166.4,166.5,166.26,252
2023-01-03T09:10:00.000000,166.41,166.2,166.5,165.8,986
2023-01-03T09:20:00.000000,166.2,166.18,166.5,165.86,571
2023-01-03T09:30:00.000000,166.41,166.0,166.5,165.96,622
2023-01-03T09:40:00.000000,166.0,166.98,166.98,166.0,1003
2023-01-03T09:50:00.000000,166.96,166.35,167.07,165.7,2003
2023-01-03T10:00:00.000000,166.11,166.5,166.5,166.11,962
2023-01-03T10:10:00.000000,166.5,166.87,166.91,166.36,435
2023-01-03T10:20:00.000000,166.87,166.68,166.92,166.03,2088
2023-01-03T10:30:00.000000,166.9,166.65,166.99,166.65,680
2023-01-03T10:40:00.000000,166.67,165.8,166.68,165.79,883
2023-01-03T10:50:00.000000,166.0,166.32,166.84,165.79,328
2023-01-03T11:00:00.000000,166.39,166.15,166.64,166.0,114
2023-01-03T11:10:00.000000,166.16,166.54,166.92,166.14,289
2023-01-03T11:20:00.000000,166.49,166.97,166.97,166.49,706
2023-01-03T11:30:00.000000,166.98,167.11,167.2,166.82,2003
2023-01-03T11:40:00.000000,166.9,166.15,167.09,166.06,1706
2023-01-03T11:50:00.000000,166.4,166.8,166.89,166.15,453
2023-01-03T12:00:00.000000,166.58,166.59,166.72,166.22,210
2023-01-03T12:10:00.000000,166.6,166.7,166.7,166.41,128
2023-01-03T12:20:00.000000,166.69,166.69,166.7,166.59,262
2023-01-03T12:30:00.000000,166.69,166.65,166.69,166.33,168
2023-01-03T12:40:00.000000,166.66,166.63,166.67,166.21,341
2023-01-03T12:50:00.000000,166.64,166.53,166.67,166.26,233
2023-01-03T13:00:00.000000,166.53,166.66,166.67,166.23,182
2023-01-03T13:10:00.000000,166.52,166.32,166.67,166.06,332
2023-01-03T13:20:00.000000,166.23,166.36,166.36,166.18,168
2023-01-03T13:30:00.000000,166.23,166.41,166.61,165.5,3011
2023-01-03T13:40:00.000000,166.4,166.21,166.49,165.77,100
2023-01-03T13:50:00.000000,166.17,165.99,166.17,165.58,284
2023-01-03T14:00:00.000000,165.98,165.99,166.1,165.64,382
2023-01-03T14:10:00.000000,166.1,166.14,166.17,165.99,32
2023-01-03T14:20:00.000000,166.08,166.07,166.08,165.8,635
2023-01-03T14:30:00.000000,165.85,165.62,166.17,165.32,2097
2023-01-03T14:40:00.000000,165.87,166.0,166.08,165.79,458
2023-01-03T14:50:00.000000,166.05,166.2,166.35,165.95,276
2023-01-03T15:00:00.000000,166.19,165.85,166.2,165.85,5573
2023-01-03T15:10:00.000000,165.94,166.35,166.35,165.94,358
2023-01-03T15:20:00.000000,166.28,166.21,166.35,166.2,656
2023-01-03T15:30:00.000000,166.21,166.0,166.35,166.0,397
2023-01-03T15:40:00.000000,166.0,166.0,166.0,166.0,334
2023-01-04T07:00:00.000000,165.19,166.25,166.45,165.01,6004
2023-01-04T07:10:00.000000,165.78,166.45,166.5,165.78,1791
2023-01-04T07:20:00.000000,166.24,166.45,166.48,166.2,277
2023-01-04T07:30:00.000000,165.8,166.2,166.44,165.8,381
2023-01-04T07:40:00.000000,166.18,164.91,166.19,164.37,5457
2023-01-04T07:50:00.000000,164.77,164.37,165.02,164.0,4740
2023-01-04T08:00:00.000000,164.55,164.99,165.02,164.5,1511
2023-01-04T08:10:00.000000,164.98,164.99,165.0,164.75,156
2023-01-04T08:20:00.000000,164.99,164.78,165.0,164.78,790
2023-01-04T08:30:00.000000,164.89,165.02,165.44,164.78,1143
2023-01-04T08:40:00.000000,165.04,165.81,165.81,165.02,475
2023-01-04T08:50:00.000000,165.8,165.8,165.83,165.52,417
2023-01-04T09:00:00.000000,165.8,165.67,165.8,165.16,128
2023-01-04T09:10:00.000000,165.6,165.59,165.83,165.59,600
2023-01-04T09:20:00.000000,165.59,166.14,166.42,165.25,1935
2023-01-04T09:30:00.000000,166.4,166.0,166.99,165.75,2735
2023-01-04T09:40:00.000000,166.03,165.75,166.29,165.69,244
2023-01-04T09:50:00.000000,165.84,166.04,166.29,165.63,478
2023-01-04T10:00:00.000000,166.04,165.25,166.04,165.13,1988
2023-01-04T10:10:00.000000,165.23,165.06,165.24,165.06,689
2023-01-04T10:20:00.000000,165.06,165.06,165.19,165.05,540
2023-01-04T10:30:00.000000,165.19,165.16,165.24,165.02,547
2023-01-04T10:40:00.000000,165.15,165.4,165.76,165.02,1009
2023-01-04T10:50:00.000000,165.4,165.16,165.54,165.12,119
2023-01-04T11:00:00.000000,165.28,165.5,165.5,165.09,105
2023-01-04T11:10:00.000000,165.4,165.54,165.54,165.35,1349
2023-01-04T11:20:00.000000,165.6,165.5,165.87,165.28,523
2023-01-04T11:30:00.000000,165.51,165.9,165.9,165.4,208
2023-01-04T11:40:00.000000,165.89,165.89,165.9,165.69,35
2023-01-04T11:50:00.000000,165.89,165.81,165.9,165.8,57
2023-01-04T12:00:00.000000,165.86,165.97,166.38,165.83,1334
2023-01-04T12:10:00.000000,165.99,166.37,166.37,165.75,276
2023-01-04T12:20:00.000000,166.13,165.9,166.15,165.8,132
2023-01-04T12:30:00.000000,165.89,165.6,166.05,165.6,242
2023-01-04T12:40:00.000000,165.71,166.02,166.08,165.6,167
2023-01-04T12:50:00.000000,166.05,165.9,166.27,165.68,149
2023-01-04T13:00:00.000000,166.0,165.9,166.0,165.9,139
2023-01-04T13:10:00.000000,165.9,165.99,166.0,165.9,41
2023-01-04T13:20:00.000000,165.9,165.9,165.99,165.6,66
2023-01-04T13:30:00.000000,165.65,165.75,166.0,165.65,87
2023-01-04T13:40:00.000000,165.96,165.98,165.98,165.6,97
2023-01-04T13:50:00.000000,165.98,165.3,166.23,165.07,3708
2023-01-04T14:00:00.000000,165.32,165.58,165.58,165.31,41
2023-01-04T14:10:00.000000,165.57,165.61,165.75,165.15,205
2023-01-04T14:20:00.000000,165.54,165.31,165.55,165.0,2129
2023-01-04T14:30:00.000000,165.31,165.32,165.5,165.29,135
2023-01-04T14:40:00.000000,165.33,165.36,166.02,165.28,981
2023-01-04T14:50:00.000000,165.44,165.57,165.96,165.3,208
2023-01-04T15:00:00.000000,165.84,165.47,165.84,165.09,1111
2023-01-04T15:10:00.000000,165.49,165.6,165.6,165.27,139
2023-01-04T15:20:00.000000,165.58,165.46,165.79,165.46,178
2023-01-04T15:30:00.000000,165.72,165.09,165.72,165.09,417
2023-01-04T15:40:00.000000,165.09,165.09,165.09,165.09,867
