iter	Logloss
0	0.6921342773
1	0.6911451009
2	0.6902041016
3	0.6893380534
4	0.6884204102
5	0.6875810547
6	0.6866534831
7	0.6858125
8	0.6848657227
9	0.6840324707
10	0.6830805664
11	0.6822094727
12	0.6814934489
13	0.6807461751
14	0.6799829102
15	0.6792509766
16	0.6784343669
17	0.6776957194
18	0.6769493408
19	0.6761889648
20	0.675503418
21	0.6747141927
22	0.6739894206
23	0.6733049316
24	0.6726150309
25	0.6719438883
26	0.6712011719
27	0.670523112
28	0.6699179687
29	0.6693277588
30	0.6687803141
31	0.6682011312
32	0.6676572673
33	0.6670802409
34	0.6665239258
35	0.6660074463
36	0.6654992269
37	0.6649690348
38	0.6644164632
39	0.6639354655
40	0.663391276
41	0.6628843587
42	0.6623614909
43	0.6618800456
44	0.6613685303
45	0.6608724772
46	0.660428304
47	0.6599696045
48	0.659584554
49	0.6591096191
50	0.6587118327
51	0.6582749837
52	0.657879598
53	0.6574056803
54	0.6570085449
55	0.6565895996
56	0.6561817627
57	0.655711263
58	0.6553275553
59	0.6549379476
60	0.6545900879
61	0.6542174886
62	0.6538173828
63	0.653431071
64	0.6530425618
65	0.652715332
66	0.6524051921
67	0.6520452474
68	0.651708374
69	0.6513903809
70	0.650987793
71	0.6506527507
72	0.6503462321
73	0.6500297852
74	0.6496940511
75	0.6493881429
76	0.6491436768
77	0.6488637695
78	0.6485362956
79	0.648215861
80	0.6479308268
81	0.6476566569
82	0.6473319906
83	0.6470981445
84	0.6467868652
85	0.6465608724
86	0.6463016357
87	0.6460795492
88	0.6458172201
89	0.6455622152
90	0.6452940267
91	0.6450325928
92	0.6447741699
93	0.6445246175
94	0.644316569
95	0.6440160319
96	0.6437822266
97	0.6434513346
98	0.6432168376
99	0.6430049642
100	0.642782959
101	0.6425396729
102	0.6422650146
103	0.6420035807
104	0.6417804362
105	0.6415472412
106	0.6413200277
107	0.641174235
108	0.6409679362
109	0.6407288005
110	0.6405085042
111	0.6402323405
112	0.6400685628
113	0.6398561198
114	0.6396161702
115	0.6394042155
116	0.6392115885
117	0.6389679362
118	0.6387414551
119	0.6385789388
120	0.638415446
121	0.6382028809
122	0.6380072428
123	0.6378603923
124	0.637641805
125	0.63746875
126	0.6373505046
127	0.6371982829
128	0.6370198568
129	0.6368209635
130	0.6366590983
131	0.6365187581
132	0.6363270671
133	0.6361452637
134	0.6360061849
