iter	Passed	Remaining
0	11	114880
1	20	104646
2	30	102013
3	40	102425
4	50	101534
5	60	100281
6	70	99987
7	79	99071
8	88	98139
9	100	100095
10	111	101553
11	123	102526
12	136	104482
13	147	105233
14	158	105225
15	168	105372
16	179	105198
17	190	105632
18	201	105867
19	212	105913
20	221	105465
21	234	106321
22	247	107371
23	258	107636
24	269	107367
25	280	107462
26	290	107192
27	300	106973
28	311	107005
29	321	106762
30	332	106857
31	342	106816
32	352	106539
33	363	106564
34	373	106419
35	383	106214
36	394	106112
37	405	106222
38	415	106024
39	425	106068
40	436	105915
41	446	105870
42	457	105930
43	467	105770
44	478	105804
45	491	106322
46	505	107006
47	516	107130
48	529	107622
49	541	107727
50	550	107484
51	562	107704
52	573	107616
53	583	107416
54	594	107409
55	603	107223
56	612	106921
57	623	106879
58	633	106676
59	644	106738
60	654	106590
61	663	106352
62	674	106353
63	684	106329
64	694	106212
65	705	106180
66	714	105994
67	725	105905
68	734	105785
69	744	105622
70	754	105527
71	764	105395
72	774	105286
73	784	105250
74	794	105172
75	806	105283
76	816	105183
77	825	105024
78	835	104912
79	844	104759
80	855	104727
81	864	104604
82	874	104460
83	884	104435
84	894	104358
85	907	104627
86	918	104625
87	928	104600
88	939	104589
89	948	104463
90	958	104395
91	969	104396
92	978	104209
93	989	104229
94	998	104152
95	1008	104033
96	1019	104040
97	1028	103936
98	1038	103856
99	1047	103691
100	1056	103555
101	1066	103450
102	1075	103309
103	1085	103317
104	1096	103292
105	1106	103281
106	1117	103355
107	1127	103313
108	1137	103226
109	1147	103137
110	1156	103026
111	1166	102988
112	1176	102895
113	1186	102859
114	1196	102829
115	1205	102748
116	1216	102751
117	1226	102720
118	1237	102753
119	1249	102895
120	1260	102872
121	1269	102808
122	1278	102696
123	1288	102590
124	1301	102781
125	1311	102812
126	1322	102799
127	1333	102852
128	1344	102851
129	1353	102784
130	1364	102808
131	1374	102768
132	1384	102720
133	1394	102703
134	1405	102687
135	1415	102664
136	1425	102653
137	1435	102610
138	1446	102584
139	1455	102480
140	1465	102461
141	1474	102392
142	1484	102292
143	1493	102247
144	1502	102118
145	1512	102101
146	1523	102085
147	1552	103314
148	1580	104507
149	1634	107308
150	1646	107382
151	1658	107436
152	1668	107411
153	1679	107353
154	1690	107347
155	1704	107543
156	1714	107506
157	1726	107562
158	1737	107512
159	1747	107459
160	1758	107459
161	1768	107406
162	1778	107330
163	1789	107305
164	1798	107204
165	1809	107173
166	1819	107121
167	1828	107028
168	1839	106979
169	1849	106943
170	1859	106899
171	1870	106869
172	1880	106815
173	1891	106811
174	1902	106806
175	1912	106772
176	1924	106781
177	1934	106723
178	1943	106647
179	1953	106596
180	1962	106476
181	1973	106439
182	1982	106359
183	1992	106272
184	2001	106188
185	2010	106081
186	2021	106083
187	2031	106023
188	2040	105924
189	2051	105902
190	2060	105811
191	2070	105752
192	2080	105694
193	2089	105612
194	2104	105806
195	2114	105744
196	2123	105659
197	2134	105680
198	2145	105687
199	2156	105653
200	2165	105567
201	2174	105495
202	2186	105528
203	2197	105528
204	2207	105469
205	2217	105405
206	2225	105306
207	2236	105309
208	2247	105308
209	2258	105299
210	2269	105312
211	2281	105327
212	2292	105324
213	2303	105324
214	2313	105300
215	2324	105278
216	2335	105303
217	2346	105309
218	2356	105262
219	2367	105232
220	2376	105179
221	2386	105100
222	2397	105131
223	2409	105176
224	2419	105122
225	2430	105098
226	2440	105055
227	2450	105023
228	2461	105025
229	2472	105043
230	2483	105039
231	2497	105157
232	2508	105156
233	2520	105200
234	2533	105275
235	2544	105293
236	2556	105305
237	2567	105290
238	2579	105334
239	2591	105379
240	2602	105388
241	2614	105437
242	2626	105450
243	2638	105506
244	2649	105499
245	2661	105545
246	2673	105572
247	2685	105614
248	2698	105667
249	2710	105713
250	2722	105739
251	2734	105792
252	2746	105802
253	2758	105861
254	2770	105875
255	2783	105948
256	2795	105997
257	2808	106035
258	2820	106075
259	2832	106119
260	2843	106101
261	2855	106132
262	2867	106174
263	2881	106267
264	2895	106384
265	2908	106440
266	2921	106481
267	2933	106524
268	2944	106512
269	2957	106565
270	2968	106565
271	2980	106591
272	2992	106616
273	3003	106607
274	3014	106621
275	3027	106647
276	3039	106693
277	3052	106735
278	3063	106737
279	3074	106731
280	3086	106738
281	3097	106755
282	3110	106796
283	3121	106805
284	3133	106824
285	3146	106858
286	3157	106866
287	3170	106899
288	3182	106929
289	3194	106951
290	3206	106973
291	3216	106946
292	3227	106913
293	3237	106883
294	3247	106838
295	3258	106809
296	3268	106771
297	3279	106780
298	3292	106816
299	3302	106781
300	3312	106751
301	3325	106777
302	3334	106729
303	3344	106674
304	3355	106664
305	3365	106612
306	3375	106576
307	3387	106580
308	3397	106551
309	3408	106555
310	3420	106559
311	3430	106516
312	3440	106493
313	3451	106453
314	3460	106397
315	3469	106338
316	3480	106307
317	3490	106273
318	3499	106192
319	3508	106130
320	3518	106096
321	3527	106030
322	3537	105993
323	3546	105913
324	3556	105874
325	3566	105821
326	3574	105745
327	3584	105706
328	3593	105626
329	3603	105592
330	3613	105548
331	3621	105466
